id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0000042,2,2016-03-24 18:29:53,2016-03-24 18:39:17,5,-73.988845825195313,40.742279052734375,-73.990791320800781,40.749008178710938,N,564
id0000043,2,2016-06-26 00:16:36,2016-06-26 00:37:10,1,-73.995597839355469,40.726768493652344,-73.948135375976563,40.789642333984375,N,1234
id0000044,2,2016-05-05 23:07:33,2016-05-05 23:17:23,1,-73.954399108886719,40.741600036621094,-73.954399108886719,40.741600036621094,N,590
id0000045,1,2016-03-05 21:58:16,2016-03-05 22:17:38,1,-73.991256713867188,40.6990966796875,-73.932960510253906,40.68682861328125,N,1162
id0000048,1,2016-04-04 07:17:41,2016-04-04 07:24:07,1,-73.946311950683594,40.773353576660156,-73.968681335449219,40.757549285888672,N,386
id0000051,2,2016-05-02 08:01:34,2016-05-02 08:14:55,1,-73.912727355957031,40.746009826660156,-73.8656005859375,40.770801544189453,N,801
id0000057,1,2016-06-16 07:48:26,2016-06-16 08:12:13,1,-74.007476806640625,40.717372894287109,-73.9556884765625,40.764503479003906,N,1427
id0000058,1,2016-06-26 16:29:57,2016-06-26 16:34:01,1,-73.96002197265625,40.819854736328125,-73.951881408691406,40.814517974853516,N,244
id0000061,2,2016-01-28 12:31:46,2016-01-28 12:34:39,1,-73.974212646484375,40.783828735351563,-73.9786376953125,40.777641296386719,N,173
id0000063,2,2016-04-24 10:38:59,2016-04-24 10:46:34,1,-73.955726623535156,40.779651641845703,-73.977912902832031,40.773590087890625,N,455
id0000064,1,2016-05-15 12:54:04,2016-05-15 13:10:31,1,-73.969062805175781,40.755081176757813,-73.991035461425781,40.727973937988281,N,987
id0000067,2,2016-04-19 23:16:25,2016-04-19 23:58:36,5,-73.983856201171875,40.761749267578125,-73.96282958984375,40.676528930664063,N,2531
id0000070,2,2016-02-19 22:04:43,2016-02-19 22:25:28,1,-73.975341796875,40.751785278320313,-73.993850708007813,40.720283508300781,N,1245
id0000079,1,2016-01-15 15:44:27,2016-01-15 15:49:23,1,-73.978851318359375,40.787574768066406,-73.97723388671875,40.788639068603516,N,296
id0000081,2,2016-04-28 23:25:53,2016-04-28 23:50:59,1,-73.989349365234375,40.740558624267578,-73.968841552734375,40.67864990234375,N,1506
id0000082,2,2016-01-16 16:31:11,2016-01-16 16:41:57,5,-73.987747192382813,40.724113464355469,-73.990913391113281,40.736362457275391,N,646
id0000086,2,2016-03-17 18:40:38,2016-03-17 18:59:32,1,-73.977119445800781,40.788631439208984,-73.947883605957031,40.772098541259766,N,1134
id0000090,2,2016-03-18 02:15:44,2016-03-18 02:32:21,1,-73.964630126953125,40.760078430175781,-73.910560607910156,40.708148956298828,N,997
id0000101,2,2016-01-31 16:47:40,2016-01-31 16:53:25,1,-74.006187438964844,40.723026275634766,-74.012466430664063,40.706985473632812,N,345
id0000103,2,2016-03-27 00:55:05,2016-03-27 01:04:33,2,-73.993904113769531,40.741283416748047,-73.983131408691406,40.759052276611328,N,568
id0000106,2,2016-04-27 20:40:04,2016-04-27 20:45:23,5,-73.995262145996094,40.749801635742187,-73.995132446289062,40.760341644287109,N,319
id0000107,2,2016-01-09 09:41:13,2016-01-09 10:01:28,1,-73.977897644042969,40.783710479736328,-73.87261962890625,40.774318695068359,N,1215
id0000108,2,2016-05-25 21:11:33,2016-05-25 21:19:19,1,-73.9840087890625,40.769657135009766,-73.977439880371094,40.788810729980469,N,466
id0000111,2,2016-06-26 23:32:25,2016-06-27 00:07:22,5,-73.807403564453125,40.656108856201172,-73.978195190429688,40.764858245849609,N,2097
id0000113,1,2016-04-28 19:43:42,2016-04-28 20:01:46,1,-73.982978820800781,40.762775421142578,-73.980171203613281,40.780368804931641,N,1084
id0000115,1,2016-03-29 17:15:12,2016-03-29 17:41:06,1,-73.863761901855469,40.769824981689453,-73.959724426269531,40.770957946777344,N,1554
id0000119,1,2016-04-22 19:28:27,2016-04-22 19:41:10,1,-73.996025085449219,40.764514923095703,-74.001625061035156,40.745899200439453,N,763
id0000122,2,2016-01-07 19:22:13,2016-01-07 19:27:14,4,-73.976409912109375,40.764728546142578,-73.977531433105469,40.773956298828125,N,301
id0000128,2,2016-04-11 07:43:32,2016-04-11 08:03:49,3,-73.948768615722656,40.778221130371094,-74.017097473144531,40.70562744140625,N,1217
id0000132,2,2016-06-07 21:47:06,2016-06-07 22:09:19,1,-73.983528137207031,40.769718170166016,-73.914505004882813,40.744514465332031,N,1333
id0000133,1,2016-03-16 12:04:28,2016-03-16 13:02:22,1,-73.788917541503906,40.642421722412109,-73.980445861816406,40.764820098876953,N,3474
id0000140,2,2016-03-16 04:42:47,2016-03-16 04:46:57,6,-73.9918212890625,40.738658905029297,-74.003303527832031,40.732917785644531,N,250
id0000146,2,2016-01-12 19:50:33,2016-01-12 19:54:21,1,-73.97039794921875,40.789951324462891,-73.964775085449219,40.801776885986328,N,228
id0000149,2,2016-01-27 14:01:56,2016-01-27 14:08:49,1,-74.001838684082031,40.730178833007813,-73.993316650390625,40.729751586914063,N,413
id0000151,1,2016-01-28 18:53:23,2016-01-28 19:03:56,1,-73.959770202636719,40.76263427734375,-73.956375122070313,40.784080505371094,N,633
id0000155,1,2016-01-27 17:03:08,2016-01-27 17:25:43,1,-73.972122192382813,40.756217956542969,-73.990997314453125,40.75537109375,N,1355
id0000156,1,2016-02-24 18:05:00,2016-02-24 18:12:23,1,-73.99273681640625,40.745956420898438,-74.002922058105469,40.733543395996094,N,443
id0000157,2,2016-01-02 13:39:00,2016-01-02 13:42:02,2,-73.973922729492188,40.779109954833984,-73.979240417480469,40.771820068359375,N,182
id0000158,2,2016-01-12 17:48:51,2016-01-12 18:02:48,1,-73.982032775878906,40.774978637695312,-73.994468688964844,40.750648498535156,N,837
id0000164,2,2016-06-30 13:51:49,2016-06-30 14:47:37,1,-74.011665344238281,40.702598571777344,-73.987281799316406,40.75494384765625,N,3348
id0000168,2,2016-02-16 21:59:43,2016-02-16 22:30:44,1,-73.77838134765625,40.646736145019531,-73.969741821289063,40.761341094970703,N,1861
id0000169,1,2016-02-08 00:25:45,2016-02-08 00:28:24,1,-73.987594604492187,40.755516052246094,-73.996269226074219,40.747398376464844,N,159
id0000170,2,2016-06-12 14:35:58,2016-06-12 14:45:55,1,-73.977058410644531,40.752338409423828,-73.991775512695313,40.758308410644531,N,597
id0000171,1,2016-04-14 13:40:17,2016-04-14 14:02:33,1,-73.98150634765625,40.734218597412109,-73.953399658203125,40.777568817138672,N,1336
id0000174,1,2016-03-18 17:20:59,2016-03-18 17:50:51,1,-73.982460021972656,40.735919952392578,-73.870674133300781,40.773891448974609,N,1792
id0000175,2,2016-01-14 07:52:41,2016-01-14 08:04:23,1,-73.981719970703125,40.739551544189453,-73.984031677246094,40.721439361572266,N,702
id0000176,2,2016-06-18 21:21:59,2016-06-18 21:35:45,1,-73.977714538574219,40.752658843994141,-73.982772827148438,40.724971771240234,N,826
id0000185,2,2016-03-18 15:25:45,2016-03-18 15:42:12,2,-73.98529052734375,40.774330139160156,-73.956382751464844,40.778148651123047,N,987
id0000186,2,2016-01-19 20:33:51,2016-01-19 20:48:26,1,-73.993446350097656,40.74212646484375,-73.957588195800781,40.765525817871094,N,875
id0000187,1,2016-01-28 16:24:42,2016-01-28 16:36:28,1,-73.971214294433594,40.757572174072266,-73.966018676757813,40.773006439208984,N,706
id0000190,2,2016-04-17 16:49:11,2016-04-17 16:58:47,1,-73.997489929199219,40.721256256103516,-73.997146606445312,40.736934661865234,N,576
id0000195,1,2016-01-10 14:08:09,2016-01-10 14:15:34,1,-73.982025146484375,40.740398406982422,-73.966499328613281,40.760284423828125,N,445
id0000196,1,2016-05-25 19:31:03,2016-05-25 19:46:11,2,-73.982269287109375,40.768421173095703,-74.002799987792969,40.760574340820312,N,908
id0000200,2,2016-01-27 00:50:35,2016-01-27 00:58:30,2,-73.981880187988281,40.754608154296875,-73.976173400878906,40.782211303710938,N,475
id0000205,2,2016-05-28 20:31:22,2016-05-28 20:41:14,1,-73.973609924316406,40.751060485839844,-73.973350524902344,40.765041351318359,N,592
id0000207,2,2016-02-26 21:02:19,2016-02-26 21:22:53,6,-73.981834411621094,40.752021789550781,-73.955032348632813,40.745868682861328,N,1234
id0000209,2,2016-05-13 22:58:30,2016-05-13 23:10:09,2,-73.977813720703125,40.746002197265625,-73.947395324707031,40.781070709228516,N,699
id0000212,1,2016-04-03 19:50:09,2016-04-03 20:33:08,2,-73.782379150390625,40.644626617431641,-74.010292053222656,40.731193542480469,N,2579
id0000213,2,2016-03-24 22:16:56,2016-03-24 22:20:41,5,-73.97943115234375,40.763980865478516,-73.975868225097656,40.757518768310547,N,225
id0000215,1,2016-05-22 15:37:10,2016-05-22 15:41:53,1,-74.001976013183594,40.740493774414062,-73.994712829589844,40.75042724609375,N,283
id0000222,2,2016-04-20 21:49:26,2016-04-20 22:04:30,6,-73.9625244140625,40.804965972900391,-73.978805541992188,40.766857147216797,N,904
id0000224,1,2016-06-11 14:15:14,2016-06-11 14:29:18,1,-74.002525329589844,40.7552490234375,-73.983940124511719,40.779556274414063,N,844
id0000225,2,2016-04-16 10:20:07,2016-04-16 10:24:49,2,-73.959251403808594,40.780570983886719,-73.957557678222656,40.771888732910156,N,282
id0000226,1,2016-04-23 15:58:42,2016-04-23 16:05:34,2,-73.963829040527344,40.767818450927734,-73.977409362792969,40.761089324951172,N,412
id0000229,1,2016-05-10 09:08:34,2016-05-10 09:23:35,1,-73.947502136230469,40.775634765625,-73.952743530273438,40.768314361572266,N,901
id0000230,2,2016-02-19 16:23:02,2016-02-19 16:28:15,1,-74.003181457519531,40.738838195800781,-73.996116638183594,40.732723236083984,N,313
id0000231,2,2016-03-02 14:28:49,2016-03-02 14:56:46,1,-73.965560913085937,40.768989562988281,-73.999717712402344,40.7412109375,N,1677
id0000233,1,2016-03-26 15:10:00,2016-03-26 15:14:34,1,-73.968017578125,40.750724792480469,-73.956146240234375,40.767768859863281,N,274
id0000238,2,2016-03-31 19:43:59,2016-03-31 20:02:15,1,-73.986625671386719,40.736904144287109,-73.985649108886719,40.744228363037109,N,1096
id0000245,1,2016-05-22 01:38:39,2016-05-22 01:42:37,4,-73.972122192382813,40.762840270996094,-73.963706970214844,40.764472961425781,N,238
id0000246,2,2016-04-22 11:42:56,2016-04-22 12:10:59,1,-73.968940734863281,40.761417388916016,-73.989753723144531,40.741046905517578,N,1683
id0000250,1,2016-03-30 08:38:35,2016-03-30 08:46:42,1,-73.997444152832031,40.736339569091797,-73.989303588867187,40.742031097412109,N,487
id0000254,1,2016-05-09 21:29:49,2016-05-09 21:50:05,3,-73.988784790039063,40.744380950927734,-73.97247314453125,40.791069030761719,N,1216
id0000257,1,2016-02-22 10:06:14,2016-02-22 10:33:37,1,-73.982536315917969,40.770210266113281,-73.932243347167969,40.795600891113281,N,1643
id0000261,2,2016-06-28 23:06:22,2016-06-28 23:21:47,1,-73.971458435058594,40.760898590087891,-73.991256713867188,40.750961303710938,N,925
id0000266,1,2016-04-08 20:54:20,2016-04-08 21:03:46,1,-73.994361877441406,40.690395355224609,-74.008460998535156,40.715152740478516,N,566
id0000268,1,2016-05-04 06:13:40,2016-05-04 06:16:58,1,-73.997276306152344,40.73675537109375,-73.988075256347656,40.754188537597656,N,198
id0000269,1,2016-02-04 19:00:08,2016-02-04 19:10:14,1,-73.992935180664062,40.735755920410156,-74.000053405761719,40.72052001953125,N,606
id0000276,1,2016-05-14 22:09:15,2016-05-14 22:23:19,2,-73.99163818359375,40.759693145751953,-74.008636474609375,40.740558624267578,N,844
id0000278,1,2016-06-04 23:59:12,2016-06-05 00:21:28,2,-73.933769226074219,40.802631378173828,-73.992111206054687,40.742588043212891,N,1336
id0000279,2,2016-01-15 19:23:47,2016-01-15 19:30:36,1,-73.997108459472656,40.744739532470703,-73.982276916503906,40.737998962402344,N,409
id0000282,2,2016-06-22 04:57:17,2016-06-22 05:20:28,2,-73.974586486816406,40.790851593017578,-73.8653564453125,40.770748138427734,N,1391
id0000288,1,2016-04-26 15:04:14,2016-04-26 15:27:07,1,-73.874397277832031,40.773784637451172,-73.977012634277344,40.754478454589844,N,1373
id0000289,1,2016-04-06 12:24:53,2016-04-06 12:57:40,1,-73.977348327636719,40.752952575683594,-74.008697509765625,40.732730865478516,N,1967
id0000291,2,2016-02-18 12:44:57,2016-02-18 12:47:23,4,-73.984298706054688,40.728851318359375,-73.979072570800781,40.736030578613281,N,146
id0000293,1,2016-03-15 09:09:19,2016-03-15 09:23:03,1,-73.987144470214844,40.755840301513672,-73.974845886230469,40.751239776611328,N,824
id0000296,1,2016-01-31 08:05:39,2016-01-31 08:26:33,2,-73.981292724609375,40.764625549316406,-73.872749328613281,40.774486541748047,N,1254
id0000303,2,2016-01-28 07:10:10,2016-01-28 07:21:26,1,-73.966499328613281,40.794330596923828,-73.968330383300781,40.761669158935547,N,676
id0000306,2,2016-04-15 19:09:02,2016-04-15 19:16:59,1,-73.97393798828125,40.751926422119141,-73.959205627441406,40.771347045898437,N,477
id0000311,2,2016-02-06 11:08:10,2016-02-06 11:11:49,6,-73.989639282226563,40.748191833496094,-73.998252868652344,40.745166778564453,N,219
id0000313,1,2016-01-18 11:14:18,2016-01-18 11:29:44,1,-73.966987609863281,40.766555786132813,-73.975654602050781,40.730155944824219,N,926
id0000318,1,2016-02-07 17:12:19,2016-02-07 17:38:47,1,-73.991714477539062,40.731342315673828,-73.982170104980469,40.771697998046875,N,1588
id0000320,1,2016-06-22 20:30:23,2016-06-22 20:36:29,1,-73.98370361328125,40.725936889648438,-73.993324279785156,40.722541809082031,N,366
id0000321,1,2016-03-09 23:18:43,2016-03-09 23:24:59,2,-73.994956970214844,40.731582641601563,-73.978256225585937,40.729465484619141,N,376
id0000322,2,2016-06-10 00:53:28,2016-06-10 01:04:58,2,-73.873008728027344,40.774040222167969,-73.840049743652344,40.716751098632812,N,690
id0000326,2,2016-05-12 19:39:28,2016-05-12 20:14:15,1,-73.783485412597656,40.646495819091797,-73.917106628417969,40.669887542724609,N,2087
id0000327,1,2016-06-01 11:40:26,2016-06-01 11:44:35,1,-73.998893737792969,40.7340087890625,-73.995376586914063,40.734958648681641,N,249
id0000329,1,2016-04-04 08:47:16,2016-04-04 08:53:50,1,-73.977081298828125,40.753753662109375,-73.980781555175781,40.759048461914063,N,394
id0000334,1,2016-05-25 18:47:19,2016-05-25 18:53:10,1,-73.981094360351563,40.78192138671875,-73.982330322265625,40.771690368652344,N,351
id0000335,1,2016-01-26 18:38:02,2016-01-26 18:49:00,1,-73.979499816894531,40.735416412353516,-73.967422485351563,40.756813049316406,N,658
id0000337,2,2016-04-22 06:21:27,2016-04-22 06:28:28,1,-74.006912231445313,40.735015869140625,-73.986824035644531,40.726657867431641,N,421
id0000342,1,2016-03-21 19:13:44,2016-03-21 19:21:18,1,-73.992820739746094,40.723930358886719,-73.988662719726563,40.702304840087891,N,454
id0000343,2,2016-01-15 11:24:46,2016-01-15 11:41:16,2,-73.986320495605469,40.755699157714844,-73.987068176269531,40.733180999755859,N,990
id0000347,2,2016-06-16 07:02:31,2016-06-16 07:42:55,1,-73.994033813476563,40.690826416015625,-73.978370666503906,40.772895812988281,N,2424
id0000349,2,2016-02-02 13:38:07,2016-02-02 13:46:38,2,-73.987289428710938,40.722560882568359,-73.998634338378906,40.721248626708984,N,511
id0000352,1,2016-06-12 17:53:31,2016-06-12 18:11:30,1,-73.972908020019531,40.762554168701172,-74.005828857421875,40.740367889404297,N,1079
id0000356,1,2016-03-12 09:50:58,2016-03-12 09:55:32,1,-73.974349975585937,40.791183471679687,-73.9820556640625,40.77850341796875,N,274
id0000357,1,2016-06-03 21:55:03,2016-06-03 22:17:34,1,-73.961235046386719,40.81201171875,-73.9736328125,40.758064270019531,N,1351
id0000364,2,2016-03-11 20:35:53,2016-03-11 20:49:29,6,-73.970748901367188,40.763378143310547,-73.990806579589844,40.750709533691406,N,816
id0000365,2,2016-01-29 18:02:09,2016-01-30 17:59:06,5,-73.961982727050781,40.775402069091797,-73.9737548828125,40.764686584472656,N,86217
id0000370,2,2016-02-03 21:18:01,2016-02-03 22:01:53,5,-73.984413146972656,40.754497528076172,-73.957473754882813,40.630973815917969,N,2632
id0000371,1,2016-05-03 15:14:01,2016-05-03 15:19:04,1,-73.958328247070312,40.775539398193359,-73.956695556640625,40.770774841308594,N,303
id0000373,2,2016-03-08 23:12:41,2016-03-08 23:20:09,1,-73.985221862792969,40.723659515380859,-73.987762451171875,40.710609436035156,N,448
id0000375,2,2016-04-09 15:20:06,2016-04-09 15:29:32,2,-73.993476867675781,40.734329223632813,-73.984893798828125,40.728000640869141,N,566
id0000377,2,2016-04-26 20:45:10,2016-04-26 20:56:46,1,-73.975021362304688,40.750537872314453,-73.952316284179687,40.778144836425781,N,696
id0000378,2,2016-05-27 07:26:46,2016-05-27 07:42:02,1,-73.980972290039063,40.729591369628906,-73.9853515625,40.754428863525391,N,916
id0000379,2,2016-02-05 13:23:58,2016-02-05 13:32:10,6,-73.966888427734375,40.793880462646484,-73.954010009765625,40.803958892822266,N,492
id0000383,1,2016-06-18 22:10:27,2016-06-18 22:35:07,2,-74.002593994140625,40.732646942138672,-73.956527709960937,40.770515441894531,N,1480
id0000384,2,2016-05-02 22:48:20,2016-05-02 22:59:58,1,-73.983222961425781,40.765350341796875,-73.944976806640625,40.837348937988281,N,698
id0000385,2,2016-03-11 18:52:53,2016-03-11 19:27:54,1,-73.789993286132812,40.64666748046875,-73.87408447265625,40.7735595703125,N,2101
id0000392,1,2016-05-21 15:10:44,2016-05-21 15:17:43,2,-73.952430725097656,40.768825531005859,-73.953117370605469,40.782318115234375,N,419
id0000394,2,2016-04-28 20:23:34,2016-04-28 20:28:19,2,-73.955299377441406,40.776966094970703,-73.945602416992188,40.778095245361328,N,285
id0000395,2,2016-05-24 07:53:25,2016-05-24 08:07:46,2,-73.947723388671875,40.814979553222656,-73.966629028320312,40.802600860595703,N,861
id0000396,2,2016-05-17 16:41:05,2016-05-17 16:46:27,1,-73.957847595214844,40.779159545898438,-73.953567504882813,40.788021087646484,N,322
id0000397,1,2016-05-30 19:48:16,2016-05-30 20:04:38,2,-74.000701904296875,40.755325317382812,-73.991737365722656,40.724147796630859,N,982
id0000402,2,2016-06-08 09:53:49,2016-06-08 10:05:01,2,-73.974639892578125,40.756641387939453,-73.976821899414063,40.766178131103516,N,672
id0000403,1,2016-06-19 20:26:12,2016-06-19 20:38:52,1,-73.953163146972656,40.775642395019531,-73.986030578613281,40.722309112548828,N,760
id0000404,1,2016-03-08 15:54:08,2016-03-08 16:06:25,1,-74.001754760742188,40.735397338867188,-73.998344421386719,40.722946166992187,N,737
id0000407,1,2016-04-01 09:55:15,2016-04-01 10:02:14,1,-73.979621887207031,40.746044158935547,-73.987754821777344,40.738155364990234,N,419
id0000409,1,2016-04-24 18:47:37,2016-04-24 18:52:59,1,-73.985969543457031,40.762161254882813,-73.984825134277344,40.768669128417969,N,322
id0000412,1,2016-05-27 07:54:12,2016-05-27 08:04:44,1,-73.953109741210937,40.786155700683594,-73.961593627929688,40.772014617919922,N,632
id0000413,2,2016-06-22 00:22:47,2016-06-22 00:38:24,1,-73.986183166503906,40.762069702148438,-73.939483642578125,40.850578308105469,N,937
id0000414,1,2016-05-03 14:50:34,2016-05-03 15:08:28,1,-73.952911376953125,40.772068023681641,-73.970283508300781,40.789142608642578,N,1074
id0000416,2,2016-04-15 08:11:36,2016-04-15 08:26:08,1,-73.978057861328125,40.752689361572266,-73.986839294433594,40.766300201416016,N,872
id0000419,2,2016-06-18 20:33:28,2016-06-18 20:44:56,1,-73.979598999023437,40.735599517822266,-74.0013427734375,40.738441467285156,N,688
id0000421,1,2016-03-18 20:56:29,2016-03-18 21:13:06,1,-73.990165710449219,40.756454467773438,-74.017906188964844,40.709320068359375,N,997
id0000426,1,2016-03-19 02:07:04,2016-03-19 02:13:34,1,-73.985687255859375,40.742183685302734,-73.992111206054687,40.748893737792969,N,390
id0000430,1,2016-06-19 11:38:40,2016-06-19 11:44:36,1,-73.971092224121094,40.758243560791016,-73.982078552246094,40.757312774658203,N,356
id0000432,1,2016-03-10 06:39:43,2016-03-10 06:44:42,1,-73.9788818359375,40.744941711425781,-73.989646911621094,40.739246368408203,N,299
id0000433,1,2016-04-21 11:25:01,2016-04-21 11:55:02,1,-73.955223083496094,40.780006408691406,-73.979843139648438,40.754531860351563,N,1801
id0000434,2,2016-05-22 08:54:43,2016-05-22 09:02:49,1,-73.970878601074219,40.751201629638672,-73.979156494140625,40.718879699707031,N,486
id0000440,1,2016-04-05 20:16:39,2016-04-05 20:19:42,2,-73.977104187011719,40.78472900390625,-73.968559265136719,40.798324584960938,N,183
id0000441,2,2016-02-11 08:19:16,2016-02-11 08:35:40,4,-73.988021850585938,40.775028228759766,-73.991218566894531,40.745109558105469,N,984
id0000443,1,2016-06-23 21:45:03,2016-06-23 22:03:06,2,-73.98681640625,40.722530364990234,-73.960609436035156,40.76202392578125,N,1083
id0000445,2,2016-04-22 09:05:40,2016-04-22 09:46:49,1,-73.981040954589844,40.769218444824219,-73.873458862304688,40.77410888671875,N,2469
id0000448,2,2016-02-20 08:30:27,2016-02-20 08:43:02,1,-73.962432861328125,40.763099670410156,-73.999221801757812,40.734291076660156,N,755
id0000449,2,2016-03-30 05:28:32,2016-03-30 05:34:35,3,-74.002128601074219,40.740177154541016,-73.984466552734375,40.754112243652344,N,363
id0000450,1,2016-05-23 20:21:14,2016-05-23 20:26:58,2,-73.984954833984375,40.727962493896484,-73.992660522460938,40.720600128173828,N,344
id0000455,2,2016-06-19 02:03:14,2016-06-19 02:25:29,5,-74.001419067382812,40.739253997802734,-73.956321716308594,40.802997589111328,N,1335
id0000460,2,2016-04-09 22:20:26,2016-04-09 22:45:16,1,-73.983596801757812,40.771041870117188,-73.987037658691406,40.749641418457031,N,1490
id0000465,2,2016-04-17 12:13:58,2016-04-17 13:11:33,6,-73.778556823730469,40.646720886230469,-73.950798034667969,40.810081481933594,N,3455
id0000466,1,2016-03-16 06:55:52,2016-03-16 07:00:57,1,-73.973548889160156,40.78961181640625,-73.979049682617188,40.776710510253906,N,305
id0000468,2,2016-06-10 08:42:46,2016-06-10 08:57:02,1,-73.991851806640625,40.754070281982422,-73.989112854003906,40.745429992675781,N,856
id0000472,2,2016-02-28 08:43:22,2016-02-28 08:54:55,5,-73.870918273925781,40.773731231689453,-73.892990112304687,40.73114013671875,N,693
id0000473,1,2016-03-03 11:46:40,2016-03-03 11:56:49,1,-73.974838256835938,40.755458831787109,-73.985183715820313,40.747791290283203,N,609
id0000474,2,2016-02-11 17:46:39,2016-02-11 17:51:23,1,-73.985946655273438,40.740673065185547,-73.978073120117187,40.751262664794922,N,284
id0000477,1,2016-02-12 17:33:55,2016-02-12 18:07:19,1,-74.004409790039063,40.706340789794922,-73.95574951171875,40.764163970947266,N,2004
id0000479,2,2016-04-26 07:44:44,2016-04-26 08:11:41,1,-73.98663330078125,40.758926391601563,-74.008743286132813,40.712898254394531,N,1617
id0000480,2,2016-03-18 16:47:00,2016-03-18 16:50:30,2,-73.988090515136719,40.743328094482422,-73.983802795410156,40.746494293212891,N,210
id0000481,1,2016-03-19 11:22:44,2016-03-19 11:32:32,1,-73.970672607421875,40.751811981201172,-73.995193481445313,40.735980987548828,N,588
id0000483,2,2016-05-10 21:25:44,2016-05-10 21:31:08,2,-73.994377136230469,40.735595703125,-73.991226196289062,40.749576568603516,N,324
id0000485,2,2016-05-25 00:08:08,2016-05-25 00:32:59,1,-73.978591918945313,40.745101928710938,-73.978279113769531,40.745765686035156,N,1491
id0000490,1,2016-03-27 11:31:34,2016-03-27 11:49:30,1,-73.95947265625,40.775199890136719,-73.994674682617188,40.728126525878906,N,1076
id0000493,1,2016-06-30 00:15:25,2016-06-30 00:20:55,1,-73.969505310058594,40.793766021728516,-73.961166381835937,40.78009033203125,N,330
id0000499,2,2016-03-23 18:42:43,2016-03-23 18:50:20,5,-73.98565673828125,40.735401153564453,-73.972625732421875,40.742328643798828,N,457
id0000502,1,2016-03-18 12:51:01,2016-03-18 13:10:34,1,-73.970634460449219,40.785861968994141,-73.974594116210938,40.754081726074219,N,1173
id0000503,2,2016-04-16 18:45:13,2016-04-16 18:45:18,5,-73.972221374511719,40.764060974121094,-73.971603393554688,40.763778686523438,N,5
id0000507,1,2016-06-06 12:07:42,2016-06-06 12:17:26,1,-73.985084533691406,40.736339569091797,-73.994773864746094,40.725025177001953,N,584
id0000519,2,2016-05-28 08:52:30,2016-05-28 09:11:53,1,-74.008346557617188,40.736850738525391,-73.963363647460937,40.675350189208984,N,1163
id0000524,2,2016-04-24 00:46:27,2016-04-24 00:50:16,1,-73.986923217773437,40.722541809082031,-73.982887268066406,40.731021881103516,N,229
id0000528,2,2016-01-21 01:48:31,2016-01-21 01:55:08,1,-73.974464416503906,40.758861541748047,-73.956687927246094,40.766788482666016,N,397
